,gene,no_rows,n
521,Zm00001d043881,400,400
235,Zm00001d020554,363,363
617,Zm00001d052743,361,361
162,Zm00001d012995,355,355
244,Zm00001d021734,331,331
425,Zm00001d035663,331,331
354,Zm00001d030279,328,328
180,Zm00001d014643,321,321
465,Zm00001d039399,316,316
515,Zm00001d043366,310,310
150,Zm00001d012297,308,308
164,Zm00001d013165,303,303
214,Zm00001d018604,303,303
56,Zm00001d004481,289,289
275,Zm00001d024312,284,284
37,Zm00001d002309,283,283
6,Zm00001d000681,279,279
245,Zm00001d021845,279,279
520,Zm00001d043826,274,274
261,Zm00001d023145,272,272
328,Zm00001d027834,269,269
415,Zm00001d035409,264,264
452,Zm00001d038036,262,262
280,Zm00001d024652,261,261
359,Zm00001d030812,260,260
385,Zm00001d033783,259,259
334,Zm00001d028552,258,258
615,Zm00001d052656,255,255
620,Zm00001d053000,255,255
133,Zm00001d010482,254,254
248,Zm00001d022340,253,253
485,Zm00001d040984,253,253
310,Zm00001d026984,252,252
592,Zm00001d050250,252,252
284,Zm00001d024900,251,251
22,Zm00001d001311,250,250
101,Zm00001d008081,250,250
309,Zm00001d026964,250,250
225,Zm00001d019729,247,247
96,Zm00001d007955,246,246
337,Zm00001d028748,245,245
223,Zm00001d019474,244,244
117,Zm00001d008904,243,243
271,Zm00001d023995,239,239
189,Zm00001d015671,238,238
32,Zm00001d001762,228,228
335,Zm00001d028555,226,226
362,Zm00001d030902,225,225
329,Zm00001d027860,222,222
193,Zm00001d016068,221,221
387,Zm00001d033899,221,221
597,Zm00001d050994,218,218
304,Zm00001d026720,217,217
17,Zm00001d001082,215,215
316,Zm00001d027165,213,213
174,Zm00001d013831,211,211
255,Zm00001d022790,211,211
642,zma-MIR171f,211,211
418,Zm00001d035413,210,210
336,Zm00001d028557,209,209
429,Zm00001d036209,209,209
70,Zm00001d005583,208,208
194,Zm00001d016080,208,208
535,Zm00001d045047,207,207
355,Zm00001d030438,205,205
86,Zm00001d007324,204,204
531,Zm00001d044863,202,202
618,Zm00001d052871,202,202
463,Zm00001d039246,201,201
10,Zm00001d000842,200,200
125,Zm00001d009672,200,200
71,Zm00001d005599,199,199
491,Zm00001d041399,199,199
644,zma-MIR396e,198,198
427,Zm00001d035885,197,197
546,Zm00001d046173,197,197
553,Zm00001d046754,197,197
613,Zm00001d052507,197,197
412,Zm00001d035390,196,196
2,Zm00001d000607,195,195
407,Zm00001d035363,195,195
72,Zm00001d005753,194,194
295,Zm00001d025482,186,186
398,Zm00001d034869,186,186
426,Zm00001d035684,185,185
603,Zm00001d051557,185,185
422,Zm00001d035434,183,183
557,Zm00001d046912,183,183
621,Zm00001d053226,183,183
267,Zm00001d023571,180,180
118,Zm00001d008926,179,179
221,Zm00001d019253,179,179
296,Zm00001d025822,179,179
332,Zm00001d028184,179,179
372,Zm00001d032325,179,179
467,Zm00001d039684,179,179
120,Zm00001d009041,176,176
207,Zm00001d017180,174,174
242,Zm00001d021495,174,174
293,Zm00001d025350,174,174
420,Zm00001d035420,174,174
1,Zm00001d000499,171,171
131,Zm00001d010130,171,171
536,Zm00001d045132,171,171
509,Zm00001d043151,170,170
312,Zm00001d027040,166,166
338,Zm00001d028839,166,166
388,Zm00001d033948,162,162
253,Zm00001d022718,161,161
283,Zm00001d024897,161,161
342,Zm00001d029301,161,161
201,Zm00001d016379,159,159
580,Zm00001d048826,159,159
23,Zm00001d001312,157,157
75,Zm00001d006043,157,157
179,Zm00001d014506,155,155
