,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000000001,Gnai3,56.392,65.896,49.124,63.767,54.338,48.316,66.068,35.926,45.451,45.342
ENSMUSG00000000028,Cdc45,7.824,6.478,6.737,6.425,9.456,7.126,8.297,6.388,8.094,9.828
ENSMUSG00000000031,H19,7.269,9.055,6.598,3.623,12.351,10.308,12.045,11.42,12.976,11.869
ENSMUSG00000000037,Scml2,2.012,2.173,1.487,1.31,1.228,0.943,1.362,0.929,0.959,1.483
ENSMUSG00000000049,Apoh,0,0.025,0,0,0.051,0.025,0.054,0,0,0.075
ENSMUSG00000000056,Narf,6.941,7.37,6.558,5.226,5.763,5.792,3.365,4.557,5.879,5.958
ENSMUSG00000000058,Cav2,10.929,12.164,9.151,11.904,9.756,10.233,7.852,6.758,7.994,8.322
ENSMUSG00000000078,Klf6,19.336,16.866,16.556,14.313,13.184,16.78,28.992,13.172,15.335,16.189
ENSMUSG00000000085,Scmh1,4.531,3.937,4.156,3.779,3.699,4.656,3.808,4.211,4.107,4.4
ENSMUSG00000000088,Cox5a,13.692,12.904,14.422,17.564,23.005,17.209,23.545,15.992,19.774,18.278
ENSMUSG00000000093,Tbx2,3.201,4.985,3.477,3.816,4.572,5.502,3.384,4.822,4.973,5.543
ENSMUSG00000000094,Tbx4,0.97,1.132,0.946,0.429,0.905,1.077,0.892,0.87,1.12,1.161
ENSMUSG00000000120,Ngfr,1.272,2.975,1.615,1.67,1.119,2.161,1.044,2.325,1.297,1.863
ENSMUSG00000000126,Wnt9a,0.778,1.911,0.979,1.208,1.22,2.787,1.615,2.475,2.662,2.42
ENSMUSG00000000127,Fer,7.453,6.756,6.672,8.151,7.691,5.916,6.329,6.148,5.573,5.787
ENSMUSG00000000131,Xpo6,4.202,3.588,4.255,3.954,3.659,4.081,3.923,2.995,3.289,3.648
ENSMUSG00000000134,Tfe3,4.833,3.693,5.182,4.078,5.449,4.308,4.742,4.715,4.457,3.815
ENSMUSG00000000142,Axin2,3.109,3.798,4.224,5.385,5.47,7.239,3.307,3.795,4.2,4.469
ENSMUSG00000000148,Brat1,3.074,2.932,3.433,3.28,3.586,3.718,2.729,3.279,3.585,3.666
ENSMUSG00000000149,Gna12,20.924,20.145,20.871,21.525,23.83,23.594,21.284,18.193,25.074,25.659
ENSMUSG00000000154,Slc22a18,0.098,0.167,0.077,0.116,0.097,0.352,0.23,0.375,0.206,0.188
ENSMUSG00000000159,Igsf5,0.045,0.029,0.047,0.086,0.015,0.058,0.031,0.132,0.126,0.072
ENSMUSG00000000167,Pih1d2,0.594,0.461,0.634,0.631,0.831,0.708,0.771,0.566,0.663,0.68
ENSMUSG00000000168,Dlat,11.006,10.915,10.401,12.523,10.489,11.393,10.568,8.461,12.376,11.059
ENSMUSG00000000171,Sdhd,76.48,80.658,72.149,103.287,102.593,86.659,101.536,86.544,102.225,92.227
ENSMUSG00000000184,Ccnd2,27.489,23.474,27.778,23.172,19.977,31.241,22.993,36.097,23.704,23.332
ENSMUSG00000000194,Gpr107,4.409,4.209,4.359,4.206,4.445,3.862,4.143,4.119,3.979,4.03
ENSMUSG00000000197,Nalcn,0.305,0.444,0.409,0.344,0.115,0.33,0.268,0.288,0.147,0.224
ENSMUSG00000000202,Btbd17,0.066,0.114,0.041,0.074,0.051,0.05,0.027,0.029,0,0.025
ENSMUSG00000000204,Slfn4,2.465,2.842,1.711,1.452,0.279,1.808,0.459,1.436,2.02,1.74
ENSMUSG00000000214,Th,0.689,0.823,0.662,0.45,0.607,0.59,1.174,0.867,0.871,1.198
ENSMUSG00000000215,Ins2,0,0,0.033,0,0,0,0.033,0,0,0
ENSMUSG00000000223,Drp2,0.576,0.46,0.676,0.369,0.571,0.372,0.497,0.586,0.354,0.21
ENSMUSG00000000244,Tspan32,0.08,0.234,0.132,0.139,0.053,0.115,0.07,0.088,0.118,0.096
ENSMUSG00000000247,Lhx2,0.038,0.074,0.059,0.027,0.056,0.054,0.079,0.114,0.08,0.136
ENSMUSG00000000253,Gmpr,8.346,7.083,8.109,5.078,10.351,8.641,11.679,13.432,10.095,9.826
ENSMUSG00000000266,Mid2,2.691,2.812,2.47,2.663,1.118,1.86,1.437,1.24,1.284,1.789
ENSMUSG00000000275,Trim25,17.61,14.481,17.657,19.096,16.272,15.273,14.384,11.481,11.658,11.955
ENSMUSG00000000276,Dgke,1.399,1.851,1.503,1.462,0.978,1.353,1.525,0.945,1.107,1.174
ENSMUSG00000000278,Scpep1,61.421,75.545,66.049,96.88,81.004,87.065,48.833,57.23,82.007,81.315
ENSMUSG00000000282,Mnt,6.975,6.254,6.455,4.84,5.462,6.558,5.266,4.064,5.468,5.869
ENSMUSG00000000290,Itgb2,1.778,1.607,1.638,1.808,2.057,1.814,1.108,1.835,1.21,0.823
ENSMUSG00000000295,Hddc2,4.642,6.134,4.697,6.395,6.526,9.308,6.736,14.717,9.782,8.867
ENSMUSG00000000296,Tpd52l1,26.697,20.554,21.26,15.258,44.225,20.527,35.588,21.026,25.116,20.738
ENSMUSG00000000301,Pemt,1.528,1.541,1.694,1.705,2.204,1.912,2.576,4.349,1.884,1.763
ENSMUSG00000000303,Cdh1,1.743,2.268,1.426,0.698,1.211,4.745,1.289,2.319,3.942,3.557
ENSMUSG00000000305,Cdh4,0.414,0.715,0.425,0.103,0.187,0.192,0.185,0.094,0.123,0.242
ENSMUSG00000000308,Ckmt1,0.502,0.601,0.766,1.074,2.252,2.058,2.05,1.313,1.199,1.038
ENSMUSG00000000317,Bcl6b,1.897,3.76,2.677,2.841,1.964,2.859,1.294,1.959,2.769,2.788
ENSMUSG00000000318,Clec10a,0.864,1.16,1.26,1.401,1.26,1.003,1.555,1.445,1.528,1.623
ENSMUSG00000000320,Alox12,0.429,1.29,0.851,0.907,1.286,0.702,0.881,0.903,1.008,1.064
ENSMUSG00000000325,Arvcf,2.209,2.611,2.321,2.454,1.501,2.448,1.39,1.849,2.831,3.19
ENSMUSG00000000326,Comt,13.818,12.789,15.092,13.375,19.721,14.689,19.16,28.41,17.528,15.765
ENSMUSG00000000339,Rtca,8.017,7.976,6.937,7.801,8.053,8.133,10.539,7.871,8.372,7.954
ENSMUSG00000000340,Dbt,14.054,17.588,14.504,20.372,15.086,15.176,13.364,17.175,16.1,15.961
ENSMUSG00000000346,Dazap2,87.982,89.354,85.089,88.739,99.745,91.219,91.03,81.831,94.455,87.115
ENSMUSG00000000355,Mcts1,18.417,25.178,20.256,25.673,27.789,22.128,24.947,23.358,27.459,22.769
ENSMUSG00000000359,Rem1,1.743,2.218,1.996,2.981,5.291,3.103,1.85,2.977,2.506,2.423
ENSMUSG00000000365,Rnf17,1.273,1.519,1.081,1.317,0.853,1.06,0.926,0.937,1.095,1.239
ENSMUSG00000000374,Trappc10,9.644,8.084,9.723,9.661,6.998,8.007,7.867,5.574,6.421,7.829
ENSMUSG00000000378,Ccm2,6.412,5.848,5.87,7.851,8.842,8.755,9.082,9.053,9.424,8.854
ENSMUSG00000000384,Tbrg4,9.037,6.579,8.892,8.246,8.859,8.36,11.578,8.968,8.38,8.739
ENSMUSG00000000385,Tmprss2,0.026,0.051,0.028,0.1,0.039,0.101,0.316,0,0.037,0.038
ENSMUSG00000000386,Mx1,0.252,0.111,0.131,0.141,0.214,0.24,0.083,0.087,0.16,0.131
ENSMUSG00000000392,Fap,0.538,0.53,0.376,0.961,0.551,1.006,0.161,0.298,0.508,0.401
ENSMUSG00000000399,Ndufa9,30.582,33.872,25.637,40.607,38.238,36.825,36.627,44.553,41.305,36.651
ENSMUSG00000000402,Egfl6,2.146,5.845,2.17,5.409,1.502,11.457,1.491,6.129,7.215,6.931
ENSMUSG00000000409,Lck,1.368,1.218,1.024,1.319,1.513,1.482,1.303,1.694,1.46,1.157
ENSMUSG00000000411,Tssk3,0.098,0.063,0.068,0,0.032,0,0,0,0.061,0.031
ENSMUSG00000000416,Cttnbp2,0.553,0.863,0.67,1.036,0.344,1.078,0.54,0.567,0.519,0.727
ENSMUSG00000000420,Galnt1,24.2,28.234,23.962,29.067,25.887,28.694,26.52,22.661,25.132,26.612
